year,city,country,avg_temp,,interval=6,interval=20
1849,Los Angeles,United States,15.71,,#N/A,#N/A
1850,Los Angeles,United States,15.28,,#N/A,#N/A
1851,Los Angeles,United States,15.53,,#N/A,#N/A
1852,Los Angeles,United States,15.61,,#N/A,#N/A
1853,Los Angeles,United States,16.27,,#N/A,#N/A
1854,Los Angeles,United States,15.74,,15.69,#N/A
1855,Los Angeles,United States,15.94,,15.72833333,#N/A
1856,Los Angeles,United States,15.52,,15.76833333,#N/A
1857,Los Angeles,United States,16.19,,15.87833333,#N/A
1858,Los Angeles,United States,15.67,,15.88833333,#N/A
1859,Los Angeles,United States,15.29,,15.725,#N/A
1860,Los Angeles,United States,15.41,,15.67,#N/A
1861,Los Angeles,United States,16.51,,15.765,#N/A
1862,Los Angeles,United States,16.05,,15.85333333,#N/A
1863,Los Angeles,United States,15.88,,15.80166667,#N/A
1864,Los Angeles,United States,16.62,,15.96,#N/A
1865,Los Angeles,United States,15.89,,16.06,#N/A
1866,Los Angeles,United States,16.33,,16.21333333,#N/A
1867,Los Angeles,United States,16.51,,16.21333333,#N/A
1868,Los Angeles,United States,16.09,,16.22,15.902
1869,Los Angeles,United States,16.05,,16.24833333,15.919
1870,Los Angeles,United States,15.64,,16.085,15.937
1871,Los Angeles,United States,15.89,,16.085,15.955
1872,Los Angeles,United States,15.66,,15.97333333,15.9575
1873,Los Angeles,United States,15.7,,15.83833333,15.929
1874,Los Angeles,United States,15.33,,15.71166667,15.9085
1875,Los Angeles,United States,16.19,,15.735,15.921
1876,Los Angeles,United States,15.7,,15.745,15.93
1877,Los Angeles,United States,16.24,,15.80333333,15.9325
1878,Los Angeles,United States,15.44,,15.76666667,15.921
1879,Los Angeles,United States,15.55,,15.74166667,15.934
1880,Los Angeles,United States,14.36,,15.58,15.8815
1881,Los Angeles,United States,15.65,,15.49,15.8385
1882,Los Angeles,United States,14.85,,15.34833333,15.7785
1883,Los Angeles,United States,15.52,,15.22833333,15.7605
1884,Los Angeles,United States,15.28,,15.20166667,15.6935
1885,Los Angeles,United States,16.44,,15.35,15.721
1886,Los Angeles,United States,15.74,,15.58,15.6915
1887,Los Angeles,United States,15.62,,15.575,15.647
1888,Los Angeles,United States,15.91,,15.75166667,15.638
1889,Los Angeles,United States,16.22,,15.86833333,15.6465
1890,Los Angeles,United States,15.8,,15.955,15.6545
1891,Los Angeles,United States,15.63,,15.82,15.6415
1892,Los Angeles,United States,15.33,,15.75166667,15.625
1893,Los Angeles,United States,14.95,,15.64,15.5875
1894,Los Angeles,United States,14.83,,15.46,15.5625
1895,Los Angeles,United States,15.36,,15.31666667,15.521
1896,Los Angeles,United States,16.1,,15.36666667,15.541
1897,Los Angeles,United States,15.32,,15.315,15.495
1898,Los Angeles,United States,15.65,,15.36833333,15.5055
1899,Los Angeles,United States,15.59,,15.475,15.5075
1900,Los Angeles,United States,16.08,,15.68333333,15.5935
1901,Los Angeles,United States,15.72,,15.74333333,15.597
1902,Los Angeles,United States,15.08,,15.57333333,15.6085
1903,Los Angeles,United States,15.49,,15.60166667,15.607
1904,Los Angeles,United States,16.24,,15.7,15.655
1905,Los Angeles,United States,15.52,,15.68833333,15.609
1906,Los Angeles,United States,15.74,,15.63166667,15.609
1907,Los Angeles,United States,15.46,,15.58833333,15.601
1908,Los Angeles,United States,15.17,,15.60333333,15.564
1909,Los Angeles,United States,15.01,,15.52333333,15.5035
1910,Los Angeles,United States,15.94,,15.47333333,15.5105
1911,Los Angeles,United States,14.82,,15.35666667,15.47
1912,Los Angeles,United States,14.84,,15.20666667,15.4455
1913,Los Angeles,United States,15.2,,15.16333333,15.458
1914,Los Angeles,United States,15.65,,15.24333333,15.499
1915,Los Angeles,United States,15.43,,15.31333333,15.5025
1916,Los Angeles,United States,14.6,,15.09,15.4275
1917,Los Angeles,United States,15.59,,15.21833333,15.441
1918,Los Angeles,United States,15.65,,15.35333333,15.441
1919,Los Angeles,United States,15.34,,15.37666667,15.4285
1920,Los Angeles,United States,15.06,,15.27833333,15.3775
1921,Los Angeles,United States,15.76,,15.33333333,15.3795
1922,Los Angeles,United States,15.31,,15.45166667,15.391
1923,Los Angeles,United States,15.39,,15.41833333,15.386
1924,Los Angeles,United States,15.69,,15.425,15.3585
1925,Los Angeles,United States,15.72,,15.48833333,15.3685
1926,Los Angeles,United States,16.6,,15.745,15.4115
1927,Los Angeles,United States,15.41,,15.68666667,15.409
1928,Los Angeles,United States,15.98,,15.79833333,15.4495
1929,Los Angeles,United States,16.1,,15.91666667,15.504
1930,Los Angeles,United States,15.99,,15.96666667,15.5065
1931,Los Angeles,United States,16.6,,16.11333333,15.5955
1932,Los Angeles,United States,15.4,,15.91333333,15.6235
1933,Los Angeles,United States,15.4,,15.91166667,15.6335
1934,Los Angeles,United States,17.03,,16.08666667,15.7025
1935,Los Angeles,United States,15.5,,15.98666667,15.706
1936,Los Angeles,United States,16.6,,16.08833333,15.806
1937,Los Angeles,United States,15.68,,15.935,15.8105
1938,Los Angeles,United States,15.89,,16.01666667,15.8225
1939,Los Angeles,United States,16.3,,16.16666667,15.8705
1940,Los Angeles,United States,16.53,,16.08333333,15.944
1941,Los Angeles,United States,15.62,,16.10333333,15.937
1942,Los Angeles,United States,15.77,,15.965,15.96
1943,Los Angeles,United States,16.12,,16.03833333,15.9965
1944,Los Angeles,United States,15.03,,15.895,15.9635
1945,Los Angeles,United States,15.7,,15.795,15.9625
1946,Los Angeles,United States,15.65,,15.64833333,15.915
1947,Los Angeles,United States,15.98,,15.70833333,15.9435
1948,Los Angeles,United States,15.09,,15.595,15.899
1949,Los Angeles,United States,15.36,,15.46833333,15.862
1950,Los Angeles,United States,16.2,,15.66333333,15.8725
1951,Los Angeles,United States,15.76,,15.67333333,15.8305
1952,Los Angeles,United States,15.33,,15.62,15.827
1953,Los Angeles,United States,15.68,,15.57,15.841
1954,Los Angeles,United States,16.05,,15.73,15.792
1955,Los Angeles,United States,15.34,,15.72666667,15.784
1956,Los Angeles,United States,15.7,,15.64333333,15.739
1957,Los Angeles,United States,15.8,,15.65,15.745
1958,Los Angeles,United States,16.7,,15.87833333,15.7855
1959,Los Angeles,United States,17.05,,16.10666667,15.823
1960,Los Angeles,United States,16.31,,16.15,15.812
1961,Los Angeles,United States,16.21,,16.295,15.8415
1962,Los Angeles,United States,15.62,,16.28166667,15.834
1963,Los Angeles,United States,15.73,,16.27,15.8145
1964,Los Angeles,United States,15.28,,16.03333333,15.827
1965,Los Angeles,United States,15.34,,15.74833333,15.809
1966,Los Angeles,United States,15.99,,15.695,15.826
1967,Los Angeles,United States,15.92,,15.64666667,15.823
1968,Los Angeles,United States,15.89,,15.69166667,15.863
1969,Los Angeles,United States,15.79,,15.70166667,15.8845
1970,Los Angeles,United States,16,,15.82166667,15.8745
1971,Los Angeles,United States,15.26,,15.80833333,15.8495
1972,Los Angeles,United States,15.96,,15.80333333,15.881
1973,Los Angeles,United States,15.51,,15.735,15.8725
1974,Los Angeles,United States,15.85,,15.72833333,15.8625
1975,Los Angeles,United States,15.12,,15.61666667,15.8515
1976,Los Angeles,United States,16.18,,15.64666667,15.8755
1977,Los Angeles,United States,16.26,,15.81333333,15.8985
1978,Los Angeles,United States,16.01,,15.82166667,15.864
1979,Los Angeles,United States,15.88,,15.88333333,15.8055
1980,Los Angeles,United States,16.23,,15.94666667,15.8015
1981,Los Angeles,United States,16.89,,16.24166667,15.8355
1982,Los Angeles,United States,15.44,,16.11833333,15.8265
1983,Los Angeles,United States,16.2,,16.10833333,15.85
1984,Los Angeles,United States,16.76,,16.23333333,15.924
1985,Los Angeles,United States,15.96,,16.24666667,15.955
1986,Los Angeles,United States,16.5,,16.29166667,15.9805
1987,Los Angeles,United States,16.09,,16.15833333,15.989
1988,Los Angeles,United States,16.44,,16.325,16.0165
1989,Los Angeles,United States,16.36,,16.35166667,16.045
1990,Los Angeles,United States,16.37,,16.28666667,16.0635
1991,Los Angeles,United States,16,,16.29333333,16.1005
1992,Los Angeles,United States,16.79,,16.34166667,16.142
1993,Los Angeles,United States,16.36,,16.38666667,16.1845
1994,Los Angeles,United States,16.29,,16.36166667,16.2065
1995,Los Angeles,United States,16.64,,16.40833333,16.2825
1996,Los Angeles,United States,17.08,,16.52666667,16.3275
1997,Los Angeles,United States,16.93,,16.68166667,16.361
1998,Los Angeles,United States,15.37,,16.445,16.329
1999,Los Angeles,United States,16.12,,16.405,16.341
2000,Los Angeles,United States,16.64,,16.46333333,16.3615
2001,Los Angeles,United States,16.47,,16.435,16.3405
2002,Los Angeles,United States,16.43,,16.32666667,16.39
2003,Los Angeles,United States,16.94,,16.32833333,16.427
2004,Los Angeles,United States,16.55,,16.525,16.4165
2005,Los Angeles,United States,16.43,,16.57666667,16.44
2006,Los Angeles,United States,16.62,,16.57333333,16.446
2007,Los Angeles,United States,16.7,,16.61166667,16.4765
2008,Los Angeles,United States,17.01,,16.70833333,16.505
2009,Los Angeles,United States,16.68,,16.665,16.521
2010,Los Angeles,United States,15.89,,16.555,16.497
2011,Los Angeles,United States,15.87,,16.46166667,16.4905
2012,Los Angeles,United States,17.09,,16.54,16.5055
2013,Los Angeles,United States,18.12,,16.77666667,16.5935